x,F(x),f(x)
-4.000000,-0.653644,-0.756802
-3.990000,-0.661179,-0.750228
-3.980000,-0.668648,-0.743579
-3.970000,-0.676050,-0.736856
-3.960000,-0.683385,-0.730058
-3.950000,-0.690651,-0.723188
-3.940000,-0.697848,-0.716246
-3.930000,-0.704976,-0.709231
-3.920000,-0.712033,-0.702146
-3.910000,-0.719018,-0.694991
-3.900000,-0.725932,-0.687766
-3.890000,-0.732774,-0.680473
-3.880000,-0.739542,-0.673111
-3.870000,-0.746236,-0.665682
-3.860000,-0.752855,-0.658186
-3.850000,-0.759399,-0.650625
-3.840000,-0.765867,-0.642999
-3.830000,-0.772259,-0.635308
-3.820000,-0.778573,-0.627554
-3.810000,-0.784810,-0.619737
-3.800000,-0.790968,-0.611858
-3.790000,-0.797047,-0.603918
-3.780000,-0.803046,-0.595917
-3.770000,-0.808965,-0.587857
-3.760000,-0.814803,-0.579738
-3.750000,-0.820559,-0.571561
-3.740000,-0.826234,-0.563327
-3.730000,-0.831826,-0.555037
-3.720000,-0.837334,-0.546691
-3.710000,-0.842759,-0.538291
-3.700000,-0.848100,-0.529836
-3.690000,-0.853356,-0.521329
-3.680000,-0.858526,-0.512769
-3.670000,-0.863611,-0.504159
-3.660000,-0.868609,-0.495497
-3.650000,-0.873521,-0.486787
-3.640000,-0.878345,-0.478027
-3.630000,-0.883081,-0.469220
-3.620000,-0.887729,-0.460366
-3.610000,-0.892288,-0.451466
-3.600000,-0.896758,-0.442520
-3.590000,-0.901139,-0.433531
-3.580000,-0.905429,-0.424498
-3.570000,-0.909629,-0.415423
-3.560000,-0.913737,-0.406306
-3.550000,-0.917755,-0.397148
-3.540000,-0.921680,-0.387951
-3.530000,-0.925513,-0.378715
-3.520000,-0.929254,-0.369441
-3.510000,-0.932902,-0.360130
-3.500000,-0.936457,-0.350783
-3.490000,-0.939918,-0.341401
-3.480000,-0.943285,-0.331985
-3.470000,-0.946557,-0.322536
-3.460000,-0.949735,-0.313054
